Name,Rating,NumberofReviews,GroupCategory,Address,Lat/Long,PriceTransfrom,lat,long
emelios-restaurant-columbus-3,4.5,21,American,"{'address1': '574 Georgesville Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43228', 'country': 'US', 'state': 'OH', 'display_address': ['574 Georgesville Rd', 'Columbus, OH 43228']}","{'latitude': 39.9413227, 'longitude': -83.1120278}",1,39.9413227,-83.1120278
darbo-restaurant-columbus,4.5,41,European,"{'address1': '3764 Cleveland Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43224', 'country': 'US', 'state': 'OH', 'display_address': ['3764 Cleveland Ave', 'Columbus, OH 43224']}","{'latitude': 40.04537, 'longitude': -82.95713}",1,40.04537,-82.95713
cafe-napolitana-columbus-2,4,84,American,"{'address1': '40 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['40 N High St', 'Columbus, OH 43215']}","{'latitude': 39.96325, 'longitude': -83.00032}",1,39.96325,-83.00032
tat-ristorante-di-famiglia-columbus,3.5,61,American,"{'address1': '1210 S James Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43227', 'country': 'US', 'state': 'OH', 'display_address': ['1210 S James Rd', 'Columbus, OH 43227']}","{'latitude': 39.9465082, 'longitude': -82.9142118}",2,39.9465082,-82.9142118
pizza-house-columbus,4,97,American,"{'address1': '747 E Lincoln Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43229', 'country': 'US', 'state': 'OH', 'display_address': ['747 E Lincoln Ave', 'Columbus, OH 43229']}","{'latitude': 40.07444, 'longitude': -82.99879}",2,40.07444,-82.99879
pizza-cucinova-columbus-2,4,85,American,"{'address1': '1187 Olentangy River Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43212', 'country': 'US', 'state': 'OH', 'display_address': ['1187 Olentangy River Rd', 'Columbus, OH 43212']}","{'latitude': 39.9848175, 'longitude': -83.02285}",1,39.9848175,-83.02285
piada-italian-street-food-columbus,3.5,204,European,"{'address1': '1315 W Lane Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43221', 'country': 'US', 'state': 'OH', 'display_address': ['1315 W Lane Ave', 'Columbus, OH 43221']}","{'latitude': 40.00646, 'longitude': -83.04537}",1,40.00646,-83.04537
morettis-dublin,4,119,European,"{'address1': '5849 Sawmill Rd', 'address2': '', 'address3': '', 'city': 'Dublin', 'zip_code': '43017', 'country': 'US', 'state': 'OH', 'display_address': ['5849 Sawmill Rd', 'Dublin, OH 43017']}","{'latitude': 40.08616, 'longitude': -83.09283}",2,40.08616,-83.09283
piada-italian-street-food-columbus-2,3.5,74,European,"{'address1': '4697 Morse Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43230', 'country': 'US', 'state': 'OH', 'display_address': ['4697 Morse Rd', 'Columbus, OH 43230']}","{'latitude': 40.05498, 'longitude': -82.8671}",1,40.05498,-82.8671
minellis-restaurant-and-pizza-carry-out-columbus-2,4.5,20,American,"{'address1': '3858 Sullivant Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43228', 'country': 'US', 'state': 'OH', 'display_address': ['3858 Sullivant Ave', 'Columbus, OH 43228']}","{'latitude': 39.94255, 'longitude': -83.10137}",1,39.94255,-83.10137
